Predictions for test data after removing special characters, using Dirichlet smoothing technique:

No. Filename Pos_probability Neg_probability
127 24218.txt -4166.22494771 -4219.16551509
128 24219.txt -3618.9782873 -3591.35887697
129 24303.txt -2650.77661845 -2648.69268001
130 24353.txt -2888.61244456 -2920.7522934
131 24606.txt -2505.71544797 -2542.89233825
132 24953.txt -8849.88231665 -8808.73703301
133 24977.txt -5259.93462976 -5238.83562832
134 25001.txt -5894.28596851 -5955.90832423
135 25240.txt -4406.74203535 -4226.30044161
136 25413.txt -5378.30863441 -5237.25663014
137 25663.txt -1273.58109447 -1269.76018152
138 25870.txt -3803.2552301 -3659.92648498
139 26071.txt -3551.62562366 -3544.24006693
140 26154.txt -2680.06959882 -2653.8158512
141 26375.txt -4350.34944548 -4352.03380845
142 26417.txt -3515.38060364 -3518.69453951
143 26688.txt -4463.13183891 -4397.49453325
144 26837.txt -4789.52262465 -4821.0551521
145 2693.txt -3280.31356857 -3202.42161455
146 27080.txt -3613.69616636 -3593.56392429
147 2856.txt -2755.40754956 -2718.35167011
148 28671.txt -4426.97411666 -4394.39993714
149 28742.txt -2046.69371847 -1988.93413005
150 28832.txt -4219.03086382 -4269.99198469
151 28877.txt -3982.86517489 -3963.24300067
152 28965.txt -3970.60663734 -3969.16886212
153 29007.txt -5994.33815131 -5974.62317847
154 29114.txt -5313.1804562 -5408.02879391
155 29127.txt -2712.26331348 -2687.56410372
156 29252.txt -5218.81940814 -5255.58125108
157 29397.txt -3426.03579368 -3377.39399103
158 29423.txt -2079.48416193 -1914.96836576
159 29484.txt -4127.4930603 -4077.30100801
160 29540.txt -3556.53769515 -3571.75592094
161 29565.txt -1725.56938598 -1715.32541375
162 29622.txt -3401.31954213 -3533.02201676
163 29715.txt -4047.67777806 -4031.95233356
164 29737.txt -4204.70589526 -4256.22843816
165 3193.txt -4093.25861076 -4122.16395687
166 3541.txt -4667.14306097 -4716.3393988
167 4776.txt -3071.4026409 -3012.74514796
168 4938.txt -2657.34388161 -2720.21206579
169 5046.txt -7054.407868 -7187.11409444
170 5152.txt -2514.99705416 -2515.19472653
171 5562.txt -6561.82411323 -6540.9723575
172 5578.txt -2194.14303141 -2164.82734415
173 5626.txt -3869.47214124 -3893.57225109
174 5674.txt -3157.99833913 -3179.28112876
175 5682.txt -3184.99544472 -3248.20393368
176 5788.txt -7349.42191416 -7415.5643574
177 5794.txt -3494.02341065 -3491.13325361
178 5964.txt -4344.47099226 -4316.98613266
179 6021.txt -5779.48796461 -5730.00716146
180 6359.txt -4028.28089163 -4051.53686607
181 6836.txt -5255.57926828 -5367.95415486
182 6895.txt -5063.33165039 -5070.28733077
183 6965.txt -1337.3634049 -1336.92134135
184 7078.txt -3137.12340941 -3080.2279185
185 7208.txt -4901.56089315 -4911.34042782
186 7394.txt -4560.48385089 -4476.36406887
187 8737.txt -3026.95829109 -3054.86359648
188 8841.txt -2970.80237762 -2933.15922077
189 8969.txt -4649.65114788 -4792.0481961
190 9059.txt -2713.7654178 -2711.37635995
191 9168.txt -7515.37069942 -7487.01957882
192 9342.txt -3409.6425496 -3457.08176809
193 9459.txt -3001.9028884 -2954.48279756
194 9478.txt -7731.34797513 -7363.32441862
195 9803.txt -3386.62170978 -3434.51949195
196 9811.txt -3713.02092931 -3729.59934726
197 9813.txt -3643.09106326 -3596.40844256
198 9816.txt -3130.86040614 -3099.30960869
199 9960.txt -3706.99171439 -3737.54625567
200 9973.txt -2306.32990056 -2314.47003126

Percentage of positive and negative reviews:
neg_count: 107 pos_count: 93
